Variable,Breakdown,Breakdown_category,Year,RD_Value,Status,Unit,Footnotes,Relative_Sampling_Error
_01_Total_RD_Expenditure,Sector,01_Business Sector,2016,1602,,NZ Dollars (millions),1 and 12,6.3
_01_Total_RD_Expenditure,Sector,01_Business Sector,2018,2134,,NZ Dollars (millions),1 and 12,12
_01_Total_RD_Expenditure,Sector,01_Business Sector,2019,2407,,NZ Dollars (millions),1 and 12,6.2
_01_Total_RD_Expenditure,Sector,01_Business Sector,2020,2709,,NZ Dollars (millions),1 and 12,6
_01_Total_RD_Expenditure,Sector,01_Business Sector,2021,2843,,NZ Dollars (millions),1 and 12,5.1
_01_Total_RD_Expenditure,Sector,01_Business Sector,2022,3093,,NZ Dollars (millions),1 and 12,6.1
_01_Total_RD_Expenditure,Sector,02_Government Sector,2016,658,,NZ Dollars (millions),1 and 2 and 3 and 12,3.6
_01_Total_RD_Expenditure,Sector,02_Government Sector,2018,828,,NZ Dollars (millions),1 and 2 and 3 and 12,8
_01_Total_RD_Expenditure,Sector,02_Government Sector,2019,...,,NZ Dollars (millions),1 and 2 and 3 and 12,...
_01_Total_RD_Expenditure,Sector,02_Government Sector,2020,802,R,NZ Dollars (millions),1 and 2 and 3 and 12,3.1
_01_Total_RD_Expenditure,Sector,02_Government Sector,2021,...,,NZ Dollars (millions),1 and 2 and 3 and 12,...
_01_Total_RD_Expenditure,Sector,02_Government Sector,2022,900,,NZ Dollars (millions),1 and 2 and 3 and 12,2.3
_01_Total_RD_Expenditure,Sector,03_Higher Education Sector,2016,877,,NZ Dollars (millions),1 and 2 and 3 and 12,0
_01_Total_RD_Expenditure,Sector,03_Higher Education Sector,2018,960,,NZ Dollars (millions),1 and 2 and 3 and 12,0
_01_Total_RD_Expenditure,Sector,03_Higher Education Sector,2019,...,,NZ Dollars (millions),1 and 2 and 3 and 12,...
_01_Total_RD_Expenditure,Sector,03_Higher Education Sector,2020,1202,R,NZ Dollars (millions),1 and 2 and 3 and 12,0
_01_Total_RD_Expenditure,Sector,03_Higher Education Sector,2021,...,,NZ Dollars (millions),1 and 2 and 3 and 12,...
_01_Total_RD_Expenditure,Sector,03_Higher Education Sector,2022,1254,P,NZ Dollars (millions),1 and 2 and 3 and 12,0
_01_Total_RD_Expenditure,Size,01_Zero employees,2016,45,,NZ Dollars (millions),5 and 12,40
_01_Total_RD_Expenditure,Size,01_Zero employees,2018,161,,NZ Dollars (millions),5 and 12,55.7
